dataset_id,n_sessions,ns_id,length_factor,schedule_type,role,bqc_sessions,pingpong_sessions,qkd_sessions,solve_time,makespan,PUF_both,PUF_CPU,PUF_QPU
0,6,533.0,3.0,HEU,alice,6,0,0,0.947214126586914,1052000000,0.3,0.0650190114068441,0.2349809885931559
0,6,533.0,3.0,HEU,bob,6,0,0,1.002126693725586,1062300000,0.3620446201637955,0.1152216887884778,0.2468229313753177
0,6,540.0,3.0,HEU,alice,6,0,0,1.844713926315308,1072000000,0.2944029850746268,0.0638059701492537,0.2305970149253731
0,6,540.0,3.0,HEU,bob,6,0,0,1.9876673221588133,1082300000,0.3553543379839231,0.1130924882195324,0.2422618497643906
0,6,557.0,3.0,HEU,alice,6,0,0,1.8669230937957764,992000000,0.3181451612903225,0.0689516129032258,0.2491935483870967
0,6,557.0,3.0,HEU,bob,6,0,0,1.98456621170044,1002300000,0.3837174498653098,0.1221191260101765,0.2615983238551332
0,6,593.0,3.0,HEU,alice,6,0,0,1.842514991760254,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,593.0,3.0,HEU,bob,6,0,0,1.9815382957458496,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,603.0,3.0,HEU,alice,6,0,0,1.849536895751953,992000000,0.3181451612903225,0.0689516129032258,0.2491935483870967
0,6,603.0,3.0,HEU,bob,6,0,0,1.97702431678772,1002300000,0.3837174498653098,0.1221191260101765,0.2615983238551332
0,6,630.0,3.0,HEU,alice,6,0,0,1.856715440750122,892000000,0.3538116591928251,0.0766816143497757,0.2771300448430493
0,6,630.0,3.0,HEU,bob,6,0,0,1.971052646636963,902300000,0.4262440430012191,0.1356533303779231,0.290590712623296
0,6,645.0,3.0,HEU,alice,6,0,0,1.8464679718017576,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,645.0,3.0,HEU,bob,6,0,0,1.993194580078125,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,655.0,3.0,HEU,alice,6,0,0,1.8575613498687744,912000000,0.3460526315789474,0.075,0.2710526315789474
0,6,655.0,3.0,HEU,bob,6,0,0,1.9592595100402832,922300000,0.4170009758213163,0.1327116990133362,0.28428927680798
0,6,688.0,3.0,HEU,alice,6,0,0,1.867503881454468,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,688.0,3.0,HEU,bob,6,0,0,1.955965280532837,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,711.0,3.0,HEU,alice,6,0,0,1.8622756004333496,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,711.0,3.0,HEU,bob,6,0,0,1.9575114250183103,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,722.0,3.0,HEU,alice,6,0,0,1.8675525188446045,932000000,0.3386266094420601,0.0733905579399141,0.2652360515021459
0,6,722.0,3.0,HEU,bob,6,0,0,1.9619114398956297,942300000,0.4081502706144539,0.1298949379178605,0.2782553326965934
0,6,742.0,3.0,HEU,alice,6,0,0,1.8670978546142576,1092000000,0.289010989010989,0.0626373626373626,0.2263736263736263
0,6,742.0,3.0,HEU,bob,6,0,0,1.985548973083496,1102300000,0.3489068311711875,0.1110405515739816,0.2378662795972058
0,6,764.0,3.0,HEU,alice,6,0,0,1.871465921401977,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,764.0,3.0,HEU,bob,6,0,0,2.029736042022705,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,787.0,3.0,HEU,alice,6,0,0,1.8645291328430176,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,787.0,3.0,HEU,bob,6,0,0,1.981868982315064,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,790.0,3.0,HEU,alice,6,0,0,1.8321595191955569,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,790.0,3.0,HEU,bob,6,0,0,1.9451005458831787,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,818.0,3.0,HEU,alice,6,0,0,1.8535475730896,1072000000,0.2944029850746268,0.0638059701492537,0.2305970149253731
0,6,818.0,3.0,HEU,bob,6,0,0,1.981248140335083,1082300000,0.3553543379839231,0.1130924882195324,0.2422618497643906
0,6,823.0,3.0,HEU,alice,6,0,0,1.868608474731445,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,823.0,3.0,HEU,bob,6,0,0,1.973127365112305,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,827.0,3.0,HEU,alice,6,0,0,1.8479926586151123,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,827.0,3.0,HEU,bob,6,0,0,1.97739577293396,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,829.0,3.0,HEU,alice,6,0,0,1.8441038131713867,1072000000,0.2944029850746268,0.0638059701492537,0.2305970149253731
0,6,829.0,3.0,HEU,bob,6,0,0,1.9438419342041016,1082300000,0.3553543379839231,0.1130924882195324,0.2422618497643906
0,6,861.0,3.0,HEU,alice,6,0,0,1.8593246936798096,1072000000,0.2944029850746268,0.0638059701492537,0.2305970149253731
0,6,861.0,3.0,HEU,bob,6,0,0,1.9606525897979736,1082300000,0.3553543379839231,0.1130924882195324,0.2422618497643906
0,6,889.0,3.0,HEU,alice,6,0,0,1.8423643112182613,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,889.0,3.0,HEU,bob,6,0,0,1.9524178504943848,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,906.0,3.0,HEU,alice,6,0,0,1.8356282711029053,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,906.0,3.0,HEU,bob,6,0,0,1.949136972427368,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,955.0,3.0,HEU,alice,6,0,0,1.852440595626831,1072000000,0.2944029850746268,0.0638059701492537,0.2305970149253731
0,6,955.0,3.0,HEU,bob,6,0,0,1.941312551498413,1082300000,0.3553543379839231,0.1130924882195324,0.2422618497643906
0,6,961.0,3.0,HEU,alice,6,0,0,1.8665902614593504,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,961.0,3.0,HEU,bob,6,0,0,1.976007938385009,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,971.0,3.0,HEU,alice,6,0,0,1.842236280441284,1092000000,0.289010989010989,0.0626373626373626,0.2263736263736263
0,6,971.0,3.0,HEU,bob,6,0,0,1.943049430847168,1102300000,0.3489068311711875,0.1110405515739816,0.2378662795972058
0,6,984.0,3.0,HEU,alice,6,0,0,1.8535754680633545,1092000000,0.289010989010989,0.0626373626373626,0.2263736263736263
0,6,984.0,3.0,HEU,bob,6,0,0,1.998669147491455,1102300000,0.3489068311711875,0.1110405515739816,0.2378662795972058
0,6,1038.0,3.0,HEU,alice,6,0,0,1.8842754364013672,1052000000,0.3,0.0650190114068441,0.2349809885931559
0,6,1038.0,3.0,HEU,bob,6,0,0,1.9603629112243648,1062300000,0.3620446201637955,0.1152216887884778,0.2468229313753177
0,6,1042.0,3.0,HEU,alice,6,0,0,1.893594980239868,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,1042.0,3.0,HEU,bob,6,0,0,2.0179309844970703,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,1062.0,3.0,HEU,alice,6,0,0,1.860713005065918,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,1062.0,3.0,HEU,bob,6,0,0,1.9546573162078853,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,1063.0,3.0,HEU,alice,6,0,0,1.852942943572998,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,1063.0,3.0,HEU,bob,6,0,0,1.990009069442749,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,1071.0,3.0,HEU,alice,6,0,0,1.8593907356262207,932000000,0.3386266094420601,0.0733905579399141,0.2652360515021459
0,6,1071.0,3.0,HEU,bob,6,0,0,1.947975873947144,942300000,0.4081502706144539,0.1298949379178605,0.2782553326965934
0,6,1134.0,3.0,HEU,alice,6,0,0,1.876737117767334,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,1134.0,3.0,HEU,bob,6,0,0,2.0143883228302,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,1141.0,3.0,HEU,alice,6,0,0,1.8896784782409668,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,1141.0,3.0,HEU,bob,6,0,0,1.9510200023651123,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,1161.0,3.0,HEU,alice,6,0,0,1.8608942031860352,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,1161.0,3.0,HEU,bob,6,0,0,2.013455390930176,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,1166.0,3.0,HEU,alice,6,0,0,1.854277849197388,1052000000,0.3,0.0650190114068441,0.2349809885931559
0,6,1166.0,3.0,HEU,bob,6,0,0,2.0035226345062256,1062300000,0.3620446201637955,0.1152216887884778,0.2468229313753177
0,6,1186.0,3.0,HEU,alice,6,0,0,1.870357036590576,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
